season,player_name,team,role,is_overseas,base_price_cr,price_cr,acquisition,ball_name,match_method,matches_played,runs,balls_faced,fours,sixes,dismissals,runs_conceded,balls_bowled,wickets,strike_rate,economy,played,bat_impact,bowl_impact,impact,visibility,value_on_cr,value_off_cr,value_cr,roi,surplus_cr,team_matches,availability
2022,Robin Uthappa,CSK,Batter,False,,2.0,sold,RV Uthappa,surname+initial,11.0,230.0,171.0,19.0,14.0,11.0,0.0,0.0,0.0,134.5,,True,-37.812434631028474,0.0,-37.812434631028474,311.0,0.0,1.5469324494287815,1.5469324494287815,0.7734662247143907,-0.4530675505712185,14,0.79
2022,Dwayne Bravo,CSK,All-Rounder,True,,4.4,sold,DJ Bravo,manual,10.0,23.0,24.0,1.0,1.0,2.0,299.0,206.0,16.0,95.8,8.71,True,-23.71051714119698,105.14981623009157,81.43929908889459,400.0,9.81959183108104,1.9896237291688508,11.809215560249891,2.6839126273295206,7.409215560249891,14,0.71
2022,Ambati Rayudu,CSK,Wicketkeeper,False,,6.75,sold,AT Rayudu,surname+initial,11.0,274.0,224.0,25.0,15.0,11.0,0.0,0.0,0.0,122.3,,True,-8.63149331783847,0.0,-8.63149331783847,374.0,0.0,1.8602981867728754,1.8602981867728754,0.2755997313737593,-4.889701813227124,14,0.79
2022,Deepak Chahar,CSK,Bowler,False,,14.0,sold,DL Chahar,surname+initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,14,0.0
2022,C.Hari Nishaanth,CSK,Batter,False,,0.2,sold,,no_match,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,14,0.0
2022,N. Jagadeesan,CSK,Wicketkeeper,False,,0.2,sold,N Jagadeesan,exact,2.0,40.0,37.0,3.0,1.0,1.0,0.0,0.0,0.0,108.1,,True,9.654619407321324,0.0,9.654619407321324,47.0,1.1641114661466538,0.23378078817733997,1.3978922543239938,6.989461271619969,1.1978922543239938,14,0.14
2022,K.M. Asif,CSK,Bowler,False,,0.2,sold,KM Asif,fuzzy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,14,0.0
2022,Tushar Deshpande,CSK,Bowler,False,,0.2,sold,TU Deshpande,surname+initial,2.0,0.0,0.0,0.0,0.0,0.0,63.0,42.0,1.0,,9.0,True,0.0,-25.843241351146375,-25.843241351146375,52.0,0.0,0.2586510847919506,0.2586510847919506,1.293255423959753,0.05865108479195058,14,0.14
2022,Shivam Dube,CSK,All-Rounder,False,,4.0,sold,S Dube,surname+initial,11.0,289.0,185.0,22.0,16.0,10.0,36.0,12.0,0.0,156.2,18.0,True,37.27309703660662,-31.098068957470392,6.175028079136229,357.0,0.7445576762196223,1.7757391782831993,2.5202968545028215,0.6300742136257054,-1.4797031454971785,14,0.79
2022,Chris Jordan,CSK,All-Rounder,True,,3.6,sold,CJ Jordan,surname+initial,4.0,11.0,8.0,0.0,0.0,1.0,135.0,77.0,2.0,137.5,10.52,True,-11.23683904706566,-63.54594247710169,-74.78278152416735,105.0,0.0,0.5222762289068233,0.5222762289068233,0.14507673025189538,-3.0777237710931766,14,0.29
2022,Maheesh Theekshana,CSK,Bowler,True,,0.7,sold,M Theekshana,surname+initial,9.0,7.0,7.0,0.0,1.0,1.0,261.0,210.0,12.0,100.0,7.46,True,-14.957234166182452,64.78379324426811,49.82655907808566,347.0,6.007866938540076,1.725998585053978,7.733865523594054,11.048379319420079,7.033865523594054,14,0.64
2022,Rajvardhan Hangargekar,CSK,All-Rounder,False,,1.5,sold,RS Hangargekar,surname+initial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,14,0.0
